log_path,model_name,mode,db_type,source_domain,target_domain,shot,em,em_type,correct,total
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot4.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,4.0,0.97,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot2.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,2.0,0.958,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot3.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,3.0,0.968,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot1.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,1.0,0.976,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot4.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,4.0,0.7066666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot2.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,2.0,0.7083333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot3.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,3.0,0.7133333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot1.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,1.0,0.6683333333333333,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot4.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,4.0,0.7183333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot2.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,2.0,0.7116666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot3.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,3.0,0.7033333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot1.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,1.0,0.71,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot4.log,qwen14,RAG,embedding,ProntoQA,gsm8k,4.0,0.9303,gsm8k_exact_match,1227.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot2.log,qwen14,RAG,embedding,ProntoQA,gsm8k,2.0,0.9257,gsm8k_exact_match,1221.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot3.log,qwen14,RAG,embedding,ProntoQA,gsm8k,3.0,0.9272,gsm8k_exact_match,1223.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot1.log,qwen14,RAG,embedding,ProntoQA,gsm8k,1.0,0.9257,gsm8k_exact_match,1221.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot4.log,qwen14,RAG,embedding,ProntoQA,FOLIO,4.0,0.7205882352941176,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot2.log,qwen14,RAG,embedding,ProntoQA,FOLIO,2.0,0.7598039215686274,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot3.log,qwen14,RAG,embedding,ProntoQA,FOLIO,3.0,0.7352941176470589,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot1.log,qwen14,RAG,embedding,ProntoQA,FOLIO,1.0,0.75,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot4.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,4.0,0.30869565217391304,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot2.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,2.0,0.3173913043478261,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot3.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,3.0,0.30434782608695654,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot1.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,1.0,0.30434782608695654,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot4.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,4.0,0.3391304347826087,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot2.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,2.0,0.34347826086956523,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot3.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,3.0,0.34347826086956523,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot1.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,1.0,0.2826086956521739,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot4.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,4.0,0.75,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot2.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,2.0,0.75,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot3.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,3.0,0.7450980392156863,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot1.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,1.0,0.7303921568627451,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_bm25/gsm8k__ProntoQA/shot1.log,qwen14,RAG,bm25,gsm8k,ProntoQA,1.0,0.928,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot4.log,qwen7,RAG,embedding,FOLIO,ProofWriter,4.0,0.6183333333333333,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot2.log,qwen7,RAG,embedding,FOLIO,ProofWriter,2.0,0.615,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot3.log,qwen7,RAG,embedding,FOLIO,ProofWriter,3.0,0.615,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot1.log,qwen7,RAG,embedding,FOLIO,ProofWriter,1.0,0.6333333333333333,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__FOLIO/shot4.log,qwen7,RAG,embedding,gsm8k,FOLIO,4.0,0.6568627450980392,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__FOLIO/shot2.log,qwen7,RAG,embedding,gsm8k,FOLIO,2.0,0.6421568627450981,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__FOLIO/shot3.log,qwen7,RAG,embedding,gsm8k,FOLIO,3.0,0.6911764705882353,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__FOLIO/shot1.log,qwen7,RAG,embedding,gsm8k,FOLIO,1.0,0.6911764705882353,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProntoQA/shot4.log,qwen7,RAG,embedding,FOLIO,ProntoQA,4.0,0.982,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProntoQA/shot2.log,qwen7,RAG,embedding,FOLIO,ProntoQA,2.0,0.966,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProntoQA/shot3.log,qwen7,RAG,embedding,FOLIO,ProntoQA,3.0,0.968,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProntoQA/shot1.log,qwen7,RAG,embedding,FOLIO,ProntoQA,1.0,0.956,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProntoQA/shot4.log,qwen7,RAG,embedding,gsm8k,ProntoQA,4.0,0.932,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProntoQA/shot2.log,qwen7,RAG,embedding,gsm8k,ProntoQA,2.0,0.922,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProntoQA/shot3.log,qwen7,RAG,embedding,gsm8k,ProntoQA,3.0,0.93,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProntoQA/shot1.log,qwen7,RAG,embedding,gsm8k,ProntoQA,1.0,0.942,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__gsm8k/shot4.log,qwen7,RAG,embedding,ProofWriter,gsm8k,4.0,0.8323999999999999,gsm8k_exact_match,1098.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__gsm8k/shot2.log,qwen7,RAG,embedding,ProofWriter,gsm8k,2.0,0.8643000000000001,gsm8k_exact_match,1140.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__gsm8k/shot3.log,qwen7,RAG,embedding,ProofWriter,gsm8k,3.0,0.8431000000000001,gsm8k_exact_match,1112.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__gsm8k/shot1.log,qwen7,RAG,embedding,ProofWriter,gsm8k,1.0,0.8597,gsm8k_exact_match,1134.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__FOLIO/shot4.log,qwen7,RAG,embedding,ProofWriter,FOLIO,4.0,0.7058823529411765,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__FOLIO/shot2.log,qwen7,RAG,embedding,ProofWriter,FOLIO,2.0,0.7107843137254902,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__FOLIO/shot3.log,qwen7,RAG,embedding,ProofWriter,FOLIO,3.0,0.7009803921568627,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__FOLIO/shot1.log,qwen7,RAG,embedding,ProofWriter,FOLIO,1.0,0.6715686274509803,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProofWriter/shot4.log,qwen7,RAG,embedding,gsm8k,ProofWriter,4.0,0.645,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProofWriter/shot2.log,qwen7,RAG,embedding,gsm8k,ProofWriter,2.0,0.64,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProofWriter/shot3.log,qwen7,RAG,embedding,gsm8k,ProofWriter,3.0,0.6216666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__ProofWriter/shot1.log,qwen7,RAG,embedding,gsm8k,ProofWriter,1.0,0.625,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__gsm8k/shot4.log,qwen7,RAG,embedding,FOLIO,gsm8k,4.0,0.8294,gsm8k_exact_match,1094.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__gsm8k/shot2.log,qwen7,RAG,embedding,FOLIO,gsm8k,2.0,0.8658,gsm8k_exact_match,1142.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__gsm8k/shot3.log,qwen7,RAG,embedding,FOLIO,gsm8k,3.0,0.8634999999999999,gsm8k_exact_match,1139.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__gsm8k/shot1.log,qwen7,RAG,embedding,FOLIO,gsm8k,1.0,0.887,gsm8k_exact_match,1170.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__AR-LSAT/shot4.log,qwen7,RAG,embedding,ProntoQA,AR-LSAT,4.0,0.24347826086956523,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__AR-LSAT/shot2.log,qwen7,RAG,embedding,ProntoQA,AR-LSAT,2.0,0.23043478260869565,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__AR-LSAT/shot3.log,qwen7,RAG,embedding,ProntoQA,AR-LSAT,3.0,0.23043478260869565,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__AR-LSAT/shot1.log,qwen7,RAG,embedding,ProntoQA,AR-LSAT,1.0,0.2217391304347826,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__AR-LSAT/shot4.log,qwen7,RAG,embedding,LogicalDeduction,AR-LSAT,4.0,0.2608695652173913,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__AR-LSAT/shot2.log,qwen7,RAG,embedding,LogicalDeduction,AR-LSAT,2.0,0.2826086956521739,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__AR-LSAT/shot3.log,qwen7,RAG,embedding,LogicalDeduction,AR-LSAT,3.0,0.2565217391304348,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__AR-LSAT/shot1.log,qwen7,RAG,embedding,LogicalDeduction,AR-LSAT,1.0,0.2391304347826087,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__ProntoQA/shot4.log,qwen7,RAG,embedding,ProofWriter,ProntoQA,4.0,0.99,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__ProntoQA/shot2.log,qwen7,RAG,embedding,ProofWriter,ProntoQA,2.0,0.99,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__ProntoQA/shot3.log,qwen7,RAG,embedding,ProofWriter,ProntoQA,3.0,0.988,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__ProntoQA/shot1.log,qwen7,RAG,embedding,ProofWriter,ProntoQA,1.0,0.97,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__gsm8k/shot4.log,qwen7,RAG,embedding,LogicalDeduction,gsm8k,4.0,0.865,gsm8k_exact_match,1141.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__gsm8k/shot2.log,qwen7,RAG,embedding,LogicalDeduction,gsm8k,2.0,0.8741,gsm8k_exact_match,1153.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__gsm8k/shot3.log,qwen7,RAG,embedding,LogicalDeduction,gsm8k,3.0,0.8779,gsm8k_exact_match,1158.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__gsm8k/shot1.log,qwen7,RAG,embedding,LogicalDeduction,gsm8k,1.0,0.8795000000000001,gsm8k_exact_match,1160.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProntoQA/shot4.log,qwen7,RAG,embedding,LogicalDeduction,ProntoQA,4.0,0.986,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProntoQA/shot2.log,qwen7,RAG,embedding,LogicalDeduction,ProntoQA,2.0,0.974,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProntoQA/shot3.log,qwen7,RAG,embedding,LogicalDeduction,ProntoQA,3.0,0.988,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProntoQA/shot1.log,qwen7,RAG,embedding,LogicalDeduction,ProntoQA,1.0,0.976,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProofWriter/shot4.log,qwen7,RAG,embedding,LogicalDeduction,ProofWriter,4.0,0.6366666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProofWriter/shot2.log,qwen7,RAG,embedding,LogicalDeduction,ProofWriter,2.0,0.6216666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProofWriter/shot3.log,qwen7,RAG,embedding,LogicalDeduction,ProofWriter,3.0,0.615,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__ProofWriter/shot1.log,qwen7,RAG,embedding,LogicalDeduction,ProofWriter,1.0,0.625,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__ProofWriter/shot4.log,qwen7,RAG,embedding,ProntoQA,ProofWriter,4.0,0.6433333333333333,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__ProofWriter/shot2.log,qwen7,RAG,embedding,ProntoQA,ProofWriter,2.0,0.6766666666666666,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__ProofWriter/shot3.log,qwen7,RAG,embedding,ProntoQA,ProofWriter,3.0,0.6466666666666666,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__ProofWriter/shot1.log,qwen7,RAG,embedding,ProntoQA,ProofWriter,1.0,0.6383333333333333,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__gsm8k/shot4.log,qwen7,RAG,embedding,ProntoQA,gsm8k,4.0,0.8665999999999999,gsm8k_exact_match,1143.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__gsm8k/shot2.log,qwen7,RAG,embedding,ProntoQA,gsm8k,2.0,0.8772,gsm8k_exact_match,1157.0,1319.0
